"Hora inicio","Hora fin","Título","Fecha inicio","Fecha fin","Canal"
"00:15:00","02:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-10","2012-10-10","PP8T",
"02:45:00","05:30:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-10","2012-10-10","PP8T",
"05:30:00","08:00:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-10","2012-10-10","PP8T",
"08:00:00","10:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-10","2012-10-10","PP8T",
"10:45:00","13:45:00","John Carter - Entre Dos Mundos - Subtitulada","2012-10-10","2012-10-10","PP8T",
"13:45:00","15:15:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-10","PP8T",
"15:15:00","16:45:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-10","PP8T",
"16:45:00","18:15:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-10","PP8T",
"18:15:00","19:45:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-10","PP8T",
"19:45:00","21:15:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-10","PP8T",
"21:15:00","22:45:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-10","PP8T",
"22:45:00","00:15:00","Mañana Nunca Más - Subtitulada","2012-10-10","2012-10-11","PP8T",
"00:15:00","01:45:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"01:45:00","03:15:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"03:15:00","04:45:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"04:45:00","06:15:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"06:15:00","07:45:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"07:45:00","09:15:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
"09:15:00","10:45:00","Mañana Nunca Más - Subtitulada","2012-10-11","2012-10-11","PP8T",
