	Saturday 01	Sunday 02	Monday 03	Tuesday 04	Wednes. 05	Thursday 06	Friday  07
18:00 	IN FOCUS	COMING ATTRACTIONS 	REVEALED	CELEBRITY PROFILE	THE E! TRUE HOLLYWOOD STORY	BEHIND THE SCENES	E!  SPECIALS

18:30 		EXTREME CLOSE UP 				LOVE CHAIN	

19:00	LO MAS E!	RANK	LOVE CHAIN	LO MAS E!	COMING ATTRACTIONS 	EXTREME CLOSE UP 	BEHIND THE SCENES

19:30	LOVE CHAIN		FASHION FILE	FASHION FILE	FASHION FILE	FASHION FILE	FASHION FILE

20:00 	BEHIND THE SCENES	LOVE CHAIN	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES	BEHIND THE SCENES

20:30 	FASHION FILE	LOVE CHAIN	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 	EXTREME CLOSE UP 

21:00 	REVEALED	E! SPECIALS	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY

22:00 	REVEALED	IT´S GOOD TO BE	IN FOCUS		LOVE CHAIN		

22:30 		IT´S GOOD TO BE			IT´S GOOD TO BE		

23:00 	WILD ON	WILD ON	WILD ON	WILD ON	WILD ON	WILD ON	WILD ON

00:00 	RANK	E! NEWS  WEEKEND	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE	E! NEWS LIVE

01:00 	MYSTERIES & S.	MYSTERIES & S.	CELEBRITY HOMES	CELEBRITY HOMES	CELEBRITY HOMES	CELEBRITY HOMES	CELEBRITY HOMES

01:30 	EXTREME CLOSE UP 	BEHIND THE SCENES	MYSTERIES & S.	MYSTERIES & S.	MYSTERIES & S.	MYSTERIES & S.	MYSTERIES & S.

02:00 	REVEALED	E! SPECIALS	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY	THE E! TRUE HOLLYWOOD STORY

03:00 	THE E! TRUE HOLLYWOOD STORY	WILD ON	THE E! TRUE HOLLYWOOD STORY				THE E! TRUE HOLLYWOOD STORY

04:00 	REVEALED	RANK	MYSTERIES & S.	MYSTERIES & S.	MYSTERIES & S.	MYSTERIES & S.	MYSTERIES & S.

04:30 			COMING ATTRACTIONS 	FASHION FILE	BEHIND THE SCENES	CELEBRITY HOMES	EXTREME CLOSE UP 

05:00 	CELEBRITY PROFILE	IN FOCUS	RANK	E! SPECIALS	COMING ATTRACTIONS	IT´S GOOD TO BE	RANK

05:30					LO MAS E!	LOVE CHAIN	

							

							

							

							

							

							

							

























































































































































































































































































































































































































































































































































































































































































































































						#¡REF!

